"no"	"CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1182	35.69	29.58	47.53	51.39	48.93	24.15	25.86	50.75	49.38	53.03	49.75	0.33	54.77
1183	81.75	80.8	73.16	73.43	74.61	64.48	71.3	78.08	79.2	65.53	60.39	9.83	83.79
1186	78.74	74.89	65.6	75.51	75.8	71.27	57.66	70.07	77.48	74.42	61.68	2.39	77.91
1188	71.45	72.27	69.63	72.81	68.22	71.51	63.85	68.57	67.87	73.11	69.08	6.45	73.97
1190	84.06	84.17	82.53	83.3	81.45	85.31	77.67	86.95	85.54	84.24	83.27	12.8	86.41
1192	76.95	71.52	71.73	68.75	65.97	71.6	78.45	78.24	65.33	59.26	66.0	3.18	84.75
1193	83.2	78.26	81.64	84.3	81.65	86.84	88.61	81.78	78.7	71.62	74.78	0.62	84.3
1194	92.91	92.93	87.68	92.16	91.97	86.9	83.61	94.03	93.49	91.24	91.07	6.0e-2	93.87
1197	84.16	80.08	69.6	78.0	77.98	72.13	72.28	79.46	78.07	77.42	73.45	3.51	82.79
1200	62.32	60.32	61.18	70.45	66.73	72.82	72.66	65.57	63.99	57.4	56.34	1.69	67.53
1201	70.15	68.32	62.6	64.12	63.44	59.15	54.48	60.04	64.1	65.22	68.86	0.75	68.71
1203	82.18	79.33	76.44	81.1	79.42	77.95	70.17	81.33	78.8	81.84	73.42	3.38	84.61
1204	80.13	81.83	79.81	79.16	80.5	72.66	71.3	81.48	81.03	75.02	73.08	8.37	82.14
1208	69.25	71.74	71.79	68.89	66.84	76.27	66.0	68.2	64.5	70.0	68.86	13.39	72.07
1210	87.14	83.01	72.77	72.21	69.37	65.93	46.6	81.27	81.56	79.77	78.15	4.59	82.68
1211	91.41	92.26	89.93	92.24	91.69	83.15	78.02	92.24	90.62	84.7	83.95	3.66	92.19
1212	84.0	84.16	84.1	84.43	84.67	81.78	69.85	84.09	84.09	83.36	83.36	29.77	84.86
1213	93.35	93.1	86.34	89.05	86.39	80.87	75.76	82.51	84.71	82.07	78.99	6.41	90.13
1217	57.65	57.02	63.36	58.19	58.33	57.7	57.97	60.88	66.63	59.97	64.01	4.79	67.36
1218	89.47	87.29	84.07	86.34	88.11	72.83	72.64	88.09	83.79	85.05	84.25	8.0e-2	90.51
1220	78.39	78.69	69.73	80.24	80.8	77.32	71.81	78.93	77.88	61.19	72.06	1.91	80.74
