"no"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1126	64.04782740524786	62.23785014945944	69.08844686085368	75.36156480851204	66.91755892239712	55.74036980206771	55.07203238968934	71.3113841756584	69.26749802208107	72.77756916290717	70.94800158310332	5.82548281188783	69.60409990857072
1127	79.32253846419934	75.23707799786729	64.4133557271143	62.28510740890979	66.15084551417878	59.44221013020565	59.28890733399679	68.46147248912975	67.57188529232788	69.74261892557588	64.94442232711344	4.253907102381956	77.06258511166799
1133	91.15317816842192	89.51753963735791	82.44024769631129	89.16121026368043	90.00422010302903	86.365268335469	77.93668989861486	88.0590685865103	90.56753248625056	86.29385246884922	75.65040438569618	2.9896838522525164	91.9860395599058
1134	60.966994167539454	63.282286973849764	66.95000188299069	61.226789411690895	48.87723084047716	69.65698846268785	69.94442165664132	55.538046298328524	56.55994484253857	74.71618461135868	72.99681830518527	9.128129803934333e-2	61.04141194102134
1136	89.51135639369198	93.41158595919033	90.4730159083612	93.57765736235325	93.73235047117522	93.70610295163324	77.23126449726615	92.52281993310503	92.75378415878805	92.6889794402324	92.61461587795776	6.046484162861387e-2	95.71449921173291
1139	91.49711051201936	93.1002050259374	83.45078560571069	89.57905989724739	87.1024668086778	87.92188862524648	84.9611945504854	91.36284081078634	92.74773258142494	85.13590455064138	84.56911079879013	39.62761650806621	93.32509748018803
1141	89.18567986314397	91.07631859620335	73.16945503897921	85.87025010506275	87.6311444267772	87.6243288791109	73.00288340414701	90.56688671733342	89.51609316320945	88.68652608912953	88.93887447410012	1.549367583824342	91.28311123064773
1142	81.55803924536875	77.4732111943612	76.15652634247093	76.67526462847584	79.81623349969131	83.99938300247315	60.52038097734661	77.14264541973749	76.94773729063753	83.72077019493135	77.70587117923529	6.624383747757324	83.93336952949284
1143	85.90299773026354	85.66877134788254	64.32589711345206	79.98747560907563	81.2410484721014	76.92941034313256	65.58242619526519	75.91961461043122	76.48880296342982	76.73999860025381	73.04428910076265	22.226849487381315	86.5579468867
1145	84.93602029718076	85.06577880846527	81.74560509143141	82.19321346379917	83.81821307272617	65.2267473549275	69.02358851331206	82.17436715895397	79.45630195427735	74.278982792336	73.87373570943635	4.370589712774101e-2	84.6161419318976
1146	89.23928981812436	80.47297521069665	88.23853999057144	90.84271837215589	86.52553471741206	79.7715723950595	65.46247545781746	76.83355282090179	80.06293026820681	86.09026780623988	83.39139509242884	6.859955929795716	90.29126763197061
1147	71.99311649402658	67.12148298180587	67.29663969991589	71.48304742512545	83.3011582508896	70.84781043413912	69.38462437847647	72.65228756180743	77.87407138726417	63.65309710636649	65.15463012188104	3.7929264691388916e-2	74.14731509913852
1148	51.614183352825	65.04683274347116	48.61660081657403	39.420140226435116	53.67710635681152	44.968038650272604	42.562881320589426	53.7406891851656	52.1701700542384	41.024642862053284	58.900902654101195	7.78914863220416e-2	51.858116589325576
